HUC_10,NAME,Length_m,Rating,
401010205,LOWER CROWSNEST RIVER,172,ZERO,
401010205,LOWER CROWSNEST RIVER,298,ZERO,
401010205,LOWER CROWSNEST RIVER,328,ZERO,
401010205,LOWER CROWSNEST RIVER,479,ZERO,
401010205,LOWER CROWSNEST RIVER,69,ZERO,
401010205,LOWER CROWSNEST RIVER,85,ZERO,
401010205,LOWER CROWSNEST RIVER,11,ZERO,
401010205,LOWER CROWSNEST RIVER,331,ZERO,
401010205,LOWER CROWSNEST RIVER,197,ZERO,
401010205,LOWER CROWSNEST RIVER,136,ZERO,
401010205,LOWER CROWSNEST RIVER,191,ZERO,
401010205,LOWER CROWSNEST RIVER,572,ZERO,
401010205,LOWER CROWSNEST RIVER,1724,ZERO,
401010205,LOWER CROWSNEST RIVER,356,ZERO,
401010205,LOWER CROWSNEST RIVER,1098,ZERO,
401010205,LOWER CROWSNEST RIVER,248,ZERO,
401010205,LOWER CROWSNEST RIVER,457,ZERO,
401010205,LOWER CROWSNEST RIVER,579,ZERO,
401010205,LOWER CROWSNEST RIVER,726,ZERO,
401010205,LOWER CROWSNEST RIVER,479,ZERO,
401010205,LOWER CROWSNEST RIVER,9,ZERO,
401010205,LOWER CROWSNEST RIVER,679,ZERO,
401010205,LOWER CROWSNEST RIVER,294,ZERO,
401010205,LOWER CROWSNEST RIVER,304,ZERO,
401010205,LOWER CROWSNEST RIVER,184,ZERO,
401010205,LOWER CROWSNEST RIVER,2062,ZERO,
401010205,LOWER CROWSNEST RIVER,469,ZERO,
401010205,LOWER CROWSNEST RIVER,1213,ZERO,
401010205,LOWER CROWSNEST RIVER,133,ZERO,
401010205,LOWER CROWSNEST RIVER,651,ZERO,
401010205,LOWER CROWSNEST RIVER,496,ZERO,
401010205,LOWER CROWSNEST RIVER,710,ZERO,
401010205,LOWER CROWSNEST RIVER,236,ZERO,
401010205,LOWER CROWSNEST RIVER,583,ZERO,
401010205,LOWER CROWSNEST RIVER,678,ZERO,
401010205,LOWER CROWSNEST RIVER,40,ZERO,
401010205,LOWER CROWSNEST RIVER,179,ZERO,
401010205,LOWER CROWSNEST RIVER,524,ZERO,
401010205,LOWER CROWSNEST RIVER,293,ZERO,
401010205,LOWER CROWSNEST RIVER,315,ZERO,
401010205,LOWER CROWSNEST RIVER,219,ZERO,
401010205,LOWER CROWSNEST RIVER,265,ZERO,
401010205,LOWER CROWSNEST RIVER,477,ZERO,
401010205,LOWER CROWSNEST RIVER,103,ZERO,
401010205,LOWER CROWSNEST RIVER,117,ZERO,
401010205,LOWER CROWSNEST RIVER,116,ZERO,
401010205,LOWER CROWSNEST RIVER,76,ZERO,
401010205,LOWER CROWSNEST RIVER,253,ZERO,
401010205,LOWER CROWSNEST RIVER,34,ZERO,
401010205,LOWER CROWSNEST RIVER,247,ZERO,
401010205,LOWER CROWSNEST RIVER,374,ZERO,
401010205,LOWER CROWSNEST RIVER,54,ZERO,
401010205,LOWER CROWSNEST RIVER,68,ZERO,
401010205,LOWER CROWSNEST RIVER,340,ZERO,
401010205,LOWER CROWSNEST RIVER,81,ZERO,
401010205,LOWER CROWSNEST RIVER,256,ZERO,
401010205,LOWER CROWSNEST RIVER,176,ZERO,
401010205,LOWER CROWSNEST RIVER,351,ZERO,
401010205,LOWER CROWSNEST RIVER,176,ZERO,
401010205,LOWER CROWSNEST RIVER,232,ZERO,
401010205,LOWER CROWSNEST RIVER,125,ZERO,
401010205,LOWER CROWSNEST RIVER,38,ZERO,
401010205,LOWER CROWSNEST RIVER,31,ZERO,
401010205,LOWER CROWSNEST RIVER,243,ZERO,
401010205,LOWER CROWSNEST RIVER,149,ZERO,
401010205,LOWER CROWSNEST RIVER,222,ZERO,
401010205,LOWER CROWSNEST RIVER,258,ZERO,
401010205,LOWER CROWSNEST RIVER,124,ZERO,
401010205,LOWER CROWSNEST RIVER,32,ZERO,
401010205,LOWER CROWSNEST RIVER,24,ZERO,
401010205,LOWER CROWSNEST RIVER,1713,ZERO,
401010205,LOWER CROWSNEST RIVER,303,ZERO,
401010205,LOWER CROWSNEST RIVER,70,ZERO,
401010205,LOWER CROWSNEST RIVER,121,ZERO,
401010205,LOWER CROWSNEST RIVER,816,ZERO,
401010205,LOWER CROWSNEST RIVER,647,ZERO,
401010205,LOWER CROWSNEST RIVER,416,ZERO,
401010205,LOWER CROWSNEST RIVER,887,ZERO,
401010205,LOWER CROWSNEST RIVER,137,ZERO,
401010205,LOWER CROWSNEST RIVER,548,ZERO,
401010205,LOWER CROWSNEST RIVER,30,ZERO,
401010205,LOWER CROWSNEST RIVER,443,ZERO,
401010205,LOWER CROWSNEST RIVER,22,ZERO,
401010205,LOWER CROWSNEST RIVER,597,ZERO,
401010205,LOWER CROWSNEST RIVER,39,ZERO,
401010205,LOWER CROWSNEST RIVER,237,ZERO,
401010205,LOWER CROWSNEST RIVER,298,ZERO,
401010205,LOWER CROWSNEST RIVER,84,ZERO,
401010205,LOWER CROWSNEST RIVER,173,ZERO,
401010205,LOWER CROWSNEST RIVER,2844,ZERO,
401010205,LOWER CROWSNEST RIVER,426,ZERO,
401010205,LOWER CROWSNEST RIVER,1878,ZERO,
401010205,LOWER CROWSNEST RIVER,197,ZERO,
401010205,LOWER CROWSNEST RIVER,142,ZERO,
401010205,LOWER CROWSNEST RIVER,487,ZERO,
401010205,LOWER CROWSNEST RIVER,1507,ZERO,
401010205,LOWER CROWSNEST RIVER,78,ZERO,
401010205,LOWER CROWSNEST RIVER,355,ZERO,
401010205,LOWER CROWSNEST RIVER,240,ZERO,
401010205,LOWER CROWSNEST RIVER,150,ZERO,
401010205,LOWER CROWSNEST RIVER,73,ZERO,
401010205,LOWER CROWSNEST RIVER,424,ZERO,
401010205,LOWER CROWSNEST RIVER,650,ZERO,
401010205,LOWER CROWSNEST RIVER,110,ZERO,
401010205,LOWER CROWSNEST RIVER,646,ZERO,
401010205,LOWER CROWSNEST RIVER,103,ZERO,
401010205,LOWER CROWSNEST RIVER,165,ZERO,
401010205,LOWER CROWSNEST RIVER,350,ZERO,
401010205,LOWER CROWSNEST RIVER,1178,ZERO,
401010205,LOWER CROWSNEST RIVER,448,ZERO,
401010205,LOWER CROWSNEST RIVER,256,ZERO,
401010205,LOWER CROWSNEST RIVER,890,ZERO,
401010205,LOWER CROWSNEST RIVER,769,ZERO,
401010205,LOWER CROWSNEST RIVER,915,ZERO,
401010205,LOWER CROWSNEST RIVER,595,ZERO,
401010205,LOWER CROWSNEST RIVER,185,ZERO,
401010205,LOWER CROWSNEST RIVER,150,ZERO,
401010205,LOWER CROWSNEST RIVER,382,ZERO,
401010205,LOWER CROWSNEST RIVER,353,ZERO,
401010205,LOWER CROWSNEST RIVER,159,ZERO,
401010205,LOWER CROWSNEST RIVER,257,ZERO,
401010205,LOWER CROWSNEST RIVER,419,ZERO,
401010205,LOWER CROWSNEST RIVER,639,ZERO,
401010205,LOWER CROWSNEST RIVER,553,ZERO,
401010205,LOWER CROWSNEST RIVER,359,ZERO,
401010205,LOWER CROWSNEST RIVER,198,ZERO,
401010205,LOWER CROWSNEST RIVER,611,ZERO,
401010205,LOWER CROWSNEST RIVER,503,ZERO,
401010205,LOWER CROWSNEST RIVER,172,ZERO,
401010205,LOWER CROWSNEST RIVER,1364,ZERO,
401010205,LOWER CROWSNEST RIVER,346,ZERO,
401010205,LOWER CROWSNEST RIVER,1258,ZERO,
401010205,LOWER CROWSNEST RIVER,287,ZERO,
401010205,LOWER CROWSNEST RIVER,1376,ZERO,
401010205,LOWER CROWSNEST RIVER,910,ZERO,
401010205,LOWER CROWSNEST RIVER,783,ZERO,
401010205,LOWER CROWSNEST RIVER,501,ZERO,
401010205,LOWER CROWSNEST RIVER,640,ZERO,
